Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM melhorado
4096;0.000460;0.000166
25600;0.008347;0.002976
65536;0.076708;0.015653
123904;0.053790;0.020643
200704;0.113106;0.039633
295936;0.206661;0.072149
409600;0.632826;0.189918
541696;0.594216;0.207797
692224;1.113320;0.392495
861184;1.233334;0.432542
1048576;11.677885;4.291613
4096;0.000182;0.000064
25600;0.003414;0.001315
65536;0.030858;0.005950
123904;0.035558;0.013898
200704;0.074364;0.029656
295936;0.140174;0.060612
409600;0.410092;0.130477
541696;0.439703;0.153850
692224;1.064885;0.364851
861184;1.281350;0.427250
1048576;11.624976;3.656042
4096;0.000179;0.000063
25600;0.003097;0.001085
65536;0.041191;0.006461
123904;0.036953;0.012952
200704;0.076759;0.026511
295936;0.142104;0.052264
409600;0.383219;0.125530
541696;0.438714;0.157847
692224;0.897641;0.299837
861184;0.992307;0.324585
1048576;9.526905;3.668443
4096;0.000188;0.000066
25600;0.003243;0.001116
65536;0.042338;0.006607
123904;0.036897;0.013215
200704;0.078211;0.026860
295936;0.142857;0.051579
409600;0.397877;0.129720
541696;0.451211;0.155417
692224;0.953790;0.302598
861184;1.044745;0.425508
1048576;10.820245;3.898387
4096;0.000182;0.000075
25600;0.003544;0.001136
65536;0.034372;0.008106
123904;0.038692;0.013663
200704;0.080884;0.032843
295936;0.145476;0.050600
409600;0.375447;0.132995
541696;0.440519;0.151007
692224;1.007623;0.328600
861184;1.152807;0.443319
1048576;11.961388;3.738636
4096;0.000183;0.000063
25600;0.003065;0.001105
65536;0.040670;0.006433
123904;0.037291;0.013698
200704;0.075893;0.028031
295936;0.137303;0.058007
409600;0.416113;0.168704
541696;0.602156;0.217742
692224;1.111159;0.370791
861184;1.210863;0.428281
1048576;11.944463;3.681275
4096;0.000276;0.000096
25600;0.004796;0.001657
65536;0.060699;0.009482
123904;0.053695;0.019486
200704;0.116471;0.045426
295936;0.204853;0.073548
409600;0.532175;0.167802
541696;0.579288;0.196677
692224;1.055418;0.364221
861184;1.202741;0.442143
1048576;9.994344;3.310135
4096;0.000178;0.000062
25600;0.003168;0.001094
65536;0.041534;0.006407
123904;0.036360;0.013228
200704;0.081721;0.031887
295936;0.140304;0.051341
409600;0.399028;0.128587
541696;0.448572;0.161201
692224;0.913383;0.297143
861184;0.989366;0.326500
1048576;9.496962;3.494111
4096;0.000185;0.000066
25600;0.003090;0.001078
65536;0.041817;0.006602
123904;0.036171;0.012982
200704;0.074778;0.026166
295936;0.138596;0.051061
409600;0.390407;0.129374
541696;0.427537;0.149362
692224;0.950393;0.302774
861184;0.989471;0.320840
1048576;9.137114;3.288631
4096;0.000183;0.000064
25600;0.003137;0.001093
65536;0.041176;0.006373
123904;0.036663;0.013138
200704;0.076824;0.026624
295936;0.139177;0.051225
409600;0.374329;0.126872
541696;0.442051;0.151075
692224;0.920047;0.300029
861184;0.987674;0.327036
1048576;12.360283;3.788447
