Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM AVX; Tempo DGEMM AVX + UNROLL
16777216;541.522583;192.543015;131.044998
16777216;544.549133;192.084091;131.044998
16777216;544.799561;192.402191;128.497391
16777216;544.392578;192.282684;128.497391
16777216;544.391296;192.649200;128.931061
16777216;544.914124;192.668930;128.931061
16777216;544.890320;192.291611;128.705811
16777216;545.307312;192.886627;128.705811
16777216;545.374634;192.991791;129.960709
16777216;545.420898;192.634232;129.960709
26214400;1027.668701;362.622131;240.422012
26214400;1026.723267;362.904480;240.422012
26214400;1038.540771;427.957092;240.816177
26214400;1023.177429;360.930389;240.816177
26214400;1023.570984;360.962677;239.875412
26214400;1023.699890;361.407196;239.875412
26214400;1023.237183;361.152130;241.848892
26214400;1023.421082;361.507446;241.848892
26214400;1023.155884;361.173706;242.478027
26214400;1023.836792;361.082611;242.478027
37748736;1892.235229;608.006836;442.789764
37748736;1882.803589;607.650757;442.789764
37748736;1899.194580;608.036194;431.901062
37748736;1905.872559;607.213989;431.901062
37748736;1887.230957;604.688049;426.795105
37748736;1935.912720;609.318970;426.795105
37748736;1855.310913;602.461914;431.642456
37748736;1852.521240;603.066956;431.642456
37748736;1852.390137;603.201843;432.871582
37748736;1878.893066;606.826843;432.871582
51380224;2885.933594;972.749573;697.393677
51380224;2894.335449;972.485840;697.393677
51380224;2887.453369;966.698242;692.168091
51380224;2896.636719;972.598145;692.168091
51380224;2897.708252;972.288635;693.635986
51380224;2889.720703;966.557617;693.635986
51380224;2890.176025;966.869202;703.911438
51380224;2888.473877;967.249634;703.911438
51380224;2892.530762;973.417969;691.609741
51380224;2891.400635;971.961853;691.609741
67108864;4914.564453;1490.255127;1042.90295
67108864;4934.650391;1489.528442;1042.9029544
67108864;4930.812500;1491.433960;1039.72277
67108864;4927.547852;1491.099609;1039.7227788
67108864;4980.087891;1495.053223;1045.65148
67108864;4954.527832;1491.786255;1045.6514899
67108864;4931.103516;1490.424438;1044.79711
67108864;4930.625000;1490.235107;1044.7971199
67108864;4982.054199;1497.427612;1019.78717
67108864;4934.847656;1498.558228;1019.7871700
