Tamanho;Erro médio;Erro AVX;Erro UNROLL
16777216;0.000000;0.000000;0.000000
16777216;0.000000;0.000000;0.000000
26214400;0.000000;0.000000;0.000000
26214400;0.000000;0.000000;0.000000
37748736;0.000000;0.000000;0.000000
37748736;0.000000;0.000000;0.000000
51380224;0.000000;0.000000;0.000000
51380224;0.000000;0.000000;0.000000
67108864;0.000000;0.000000;0.000000
67108864;0.000000;0.000000;0.000000
16777216;0.000000;0.000000;0.000000
16777216;0.000000;0.000000;0.000000
26214400;0.000000;0.000000;0.000000
26214400;0.000000;0.000000;0.000000
37748736;0.000000;0.000000;0.000000
37748736;0.000000;0.000000;0.000000
51380224;0.000000;0.000000;0.000000
51380224;0.000000;0.000000;0.000000
67108864;0.000000;0.000000;0.000000
67108864;0.000000;0.000000;0.000000
