Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM melhorado
4096;0.000274;0.000093
25600;0.004844;0.001704
65536;0.058501;0.014715
123904;0.055340;0.018927
200704;0.114175;0.040501
295936;0.204761;0.082674
409600;0.629382;0.228228
541696;0.595047;0.202947
692224;1.121638;0.452465
861184;1.404069;0.476285
1048576;11.699400;4.214834
4096;0.000281;0.000097
25600;0.003225;0.001166
65536;0.040491;0.007086
123904;0.039281;0.018695
200704;0.083881;0.028149
295936;0.150874;0.059600
409600;0.414787;0.169337
541696;0.543193;0.183819
692224;1.026158;0.301666
861184;0.998915;0.327884
1048576;9.604498;3.596310
4096;0.000171;0.000060
25600;0.003059;0.001073
65536;0.037489;0.005994
123904;0.034872;0.012341
200704;0.075577;0.026175
295936;0.134931;0.046841
409600;0.397954;0.120843
541696;0.435076;0.147571
692224;0.904442;0.291089
861184;0.989892;0.313246
1048576;9.446572;3.516954
4096;0.000177;0.000062
25600;0.003236;0.001124
65536;0.038865;0.007086
123904;0.037096;0.012825
200704;0.075807;0.026021
295936;0.138960;0.051591
409600;0.417055;0.121321
541696;0.434072;0.157306
692224;0.938104;0.315853
861184;1.001771;0.337555
1048576;9.470729;3.529048
4096;0.000179;0.000060
25600;0.003083;0.001077
65536;0.038668;0.006184
123904;0.036485;0.012940
200704;0.081985;0.036400
295936;0.142336;0.055190
409600;0.402322;0.132893
541696;0.432389;0.152732
692224;0.912407;0.321466
861184;0.997065;0.343691
1048576;11.546547;3.811548
4096;0.000188;0.000064
25600;0.003196;0.001108
65536;0.039162;0.006399
123904;0.036474;0.012644
200704;0.077719;0.027016
295936;0.141614;0.052664
409600;0.387423;0.141761
541696;0.431289;0.152212
692224;0.932643;0.313724
861184;1.004362;0.352611
1048576;12.387876;3.626965
4096;0.000170;0.000060
25600;0.003085;0.001084
65536;0.037516;0.007397
123904;0.037347;0.014181
200704;0.076431;0.026147
295936;0.137077;0.051426
409600;0.378818;0.130308
541696;0.443330;0.150440
692224;0.937439;0.300990
861184;0.998906;0.339950
1048576;9.568529;3.656127
4096;0.000179;0.000060
25600;0.003385;0.001107
65536;0.037516;0.006086
123904;0.035842;0.012254
200704;0.075569;0.025708
295936;0.140718;0.051739
409600;0.383777;0.124085
541696;0.436453;0.161919
692224;0.936064;0.308680
861184;1.021742;0.349300
1048576;9.600406;4.034340
4096;0.000263;0.000093
25600;0.004735;0.001661
65536;0.056359;0.009148
123904;0.054010;0.018791
200704;0.111991;0.041687
295936;0.206412;0.076280
409600;0.510558;0.168551
541696;0.575786;0.197784
692224;1.081942;0.379197
861184;1.219563;0.432633
1048576;10.177806;3.517994
4096;0.000185;0.000061
25600;0.003051;0.001075
65536;0.038939;0.006173
123904;0.036513;0.012847
200704;0.076920;0.026806
295936;0.148580;0.053331
409600;0.438940;0.142655
541696;0.447524;0.151779
692224;0.930380;0.304873
861184;0.992738;0.327208
1048576;9.379858;3.729619
