Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM melhorado
4096;0.000527;0.000168
25600;0.008703;0.002962
65536;0.066315;0.015822
123904;0.054376;0.018898
200704;0.113750;0.040240
295936;0.207117;0.087914
409600;0.573635;0.180710
541696;0.599539;0.210562
692224;1.187273;0.347205
861184;1.217480;0.401274
1048576;13.428067;5.875592
4096;0.000247;0.000086
25600;0.003695;0.001358
65536;0.029916;0.008200
123904;0.042218;0.016730
200704;0.096924;0.028527
295936;0.146026;0.051256
409600;0.437187;0.155532
541696;0.454707;0.145482
692224;0.985833;0.328433
861184;1.026471;0.319963
1048576;12.797260;4.169562
4096;0.000300;0.000096
25600;0.004816;0.001652
65536;0.057397;0.008834
123904;0.055166;0.018694
200704;0.115528;0.059034
295936;0.223557;0.069242
409600;0.557218;0.203153
541696;0.565677;0.198515
692224;1.163682;0.378020
861184;1.345912;0.491864
1048576;12.322087;4.248782
4096;0.000301;0.000096
25600;0.004832;0.001653
65536;0.058706;0.008822
123904;0.054749;0.018724
200704;0.116815;0.039800
295936;0.205885;0.069937
409600;0.515490;0.171214
541696;0.643963;0.218375
692224;1.212234;0.384094
861184;1.342760;0.420881
1048576;11.563647;3.670933
4096;0.000195;0.000062
25600;0.003293;0.001126
65536;0.039608;0.008528
123904;0.042191;0.017434
200704;0.088814;0.033511
295936;0.151432;0.059485
409600;0.383329;0.143253
541696;0.466453;0.183593
692224;0.931442;0.304958
861184;1.021578;0.336171
1048576;11.826587;3.977176
4096;0.000301;0.000096
25600;0.004859;0.001653
65536;0.056039;0.008889
123904;0.054372;0.020137
200704;0.121725;0.038976
295936;0.207907;0.075762
409600;0.556109;0.190106
541696;0.592405;0.202202
692224;1.119366;0.378394
861184;1.217335;0.452531
1048576;10.651599;3.563071
4096;0.000198;0.000062
25600;0.003649;0.001156
65536;0.038273;0.005831
123904;0.036596;0.013263
200704;0.082269;0.028626
295936;0.141656;0.052486
409600;0.378334;0.149483
541696;0.440389;0.166524
692224;0.927293;0.304289
861184;0.988058;0.317421
1048576;9.280525;3.572996
4096;0.000195;0.000062
25600;0.003124;0.001075
65536;0.037223;0.006045
123904;0.036938;0.012827
200704;0.076959;0.027264
295936;0.146463;0.051168
409600;0.381015;0.126091
541696;0.422615;0.149205
692224;0.924081;0.300202
861184;0.995912;0.322720
1048576;9.296469;3.531456
4096;0.000195;0.000067
25600;0.003121;0.001082
65536;0.038959;0.005996
123904;0.037222;0.012780
200704;0.078132;0.026150
295936;0.140837;0.051323
409600;0.373969;0.124232
541696;0.420626;0.147803
692224;0.930896;0.302262
861184;0.991198;0.318026
1048576;9.603830;3.590222
4096;0.000195;0.000062
25600;0.003169;0.001087
65536;0.039010;0.006082
123904;0.036709;0.012694
200704;0.078300;0.026620
295936;0.142052;0.051576
409600;0.357370;0.123356
541696;0.434329;0.146324
692224;0.916746;0.293680
861184;0.985021;0.317834
1048576;9.467717;3.582492
